phrase,recording_count,phrase_type
The opposition said arroyo should step down,12,Free-Text
The calendar is free of any economic releases,12,Free-Text
EAST OR WEST HOME IS BEST,12,Free-Text
Then most probably i'll retire he added,12,Free-Text
When i saw that little television i despaired,12,Free-Text
Any outcome could be challenged in court,12,Free-Text
Here's a look at the new choices,12,Free-Text
But others absorbed the lessons of their predecessors,12,Free-Text
And the worst has yet to come,12,Free-Text
Do you know any good restaurants,12,Free-Text
Texas instruments officials declined to comment,12,Free-Text
Other pieces of the package include,12,Free-Text
Both measures were first announced monday,12,Free-Text
We're looking at all alternatives paris said,12,Free-Text
The age melbourne australia on the middle east,12,Free-Text
We will intervene if necessary he added,12,Free-Text
That's one major implication he pointed out,12,Free-Text
Here's how the transcript might have read,12,Free-Text
We'll do everything to find him he said,12,Free-Text
That could prove to be very difficult,12,Free-Text
To be concentrated and stop wasting time,12,Free-Text
But the farmers have suffered from extremes,12,Free-Text
Welcome to the greens at augusta national,12,Free-Text
The sisters of course see things differently,12,Free-Text
I want to read her latest book,12,Free-Text
If only the shoppers would believe it,12,Free-Text
The time was ripe for rebellion,12,Free-Text
I live in Jurong west Singapore,12,Free-Text
Other state run companies reported normal operations,12,Free-Text
The cause of poisoning has been unknown yet,12,Free-Text
"No Bees, No Honey, No Work, No Money",12,Free-Text
There was no report on any casualties,12,Free-Text
Resistence is futile,12,Free-Text
He ended up in factory jobs,12,Free-Text
The impact extends far beyond the city,12,Free-Text
To play well and win is extra special,12,Free-Text
A there is a market for everything,12,Free-Text
She was humble about her garden,12,Free-Text
You had a good finish coming in,12,Free-Text
My mother called me out warren said,12,Free-Text
It is a growing although invisible problem,12,Free-Text
Fried chicken cooked in microwave wins trip,12,Free-Text
Why the early polls three reasons they explained,12,Free-Text
Teen people to launch in february,12,Free-Text
But he may never get the chance,12,Free-Text
The rivalry at times has been acute,12,Free-Text
At least they're starting with good day jobs,12,Free-Text
The problem he says is television,12,Free-Text
One more time home runs blown saves,12,Free-Text
"Diane, I am now upside-down",12,Free-Text
The suit doesn't describe the paintings in dispute,12,Free-Text
Live is like a chocolate.,12,Free-Text
Achievement in visual effects king kong,12,Free-Text
Until it is of spreading consistency top with,12,Free-Text
African foreign ministers meet in libya,12,Free-Text
Settlement to help a tobacco region,10,Free-Text
I can because i think i can,10,Free-Text
China's economic efficiency indicators paper making paper products,10,Free-Text
It overturned in waves about three meters high,10,Free-Text
Due diligence vital for successful mergers,10,Free-Text
Among the casualties were two children,10,Free-Text
Juliet Alpha Victor Alpha,10,Free-Text
Joint ministerial meetings every six months,10,Free-Text
Giuliani however wanted to be held accountable,10,Free-Text
You have to get along with your stars,10,Free-Text
The talks in cairo are to continue wednesday,10,Free-Text
Result in the french first division wednesday,10,Free-Text
Our society together our nation's employers and citizens,10,Free-Text
There were problems almost from the start,10,Free-Text
The national team sponsor is coca cola,10,Free-Text
Five percent growth of gross domestic product,10,Free-Text
Goals determine what you are going to be,10,Free-Text
Lesson learning about life in the jungle,10,Free-Text
It was like jumping on a freight train,10,Free-Text
Nobody asked him not to work he said,10,Free-Text
And you're upset because he's a close friend,10,Free-Text
The other suspects have since been released,10,Free-Text
The energy department's weekly petroleum report also showed,10,Free-Text
Golf India Lima Lima Echo Sierra,10,Free-Text
Their lawyers could not be reached for comment,10,Free-Text
The investigation is expected to take two weeks,10,Free-Text
Phil jackson is staying right where he is,10,Free-Text
I was told that was a normal reaction,10,Free-Text
When will things slow down not anytime soon,10,Free-Text
And why should his new team be different,10,Free-Text
Among problems cited by court officials,9,Free-Text
Comrades you go right path,9,Free-Text
In that case maybe they could charge more,9,Free-Text
No suspects have yet been named,9,Free-Text
Scottish premier league table after wednesday's match,9,Free-Text
Jim short liberal party assistant treasurer,9,Free-Text
Villagers provided two versions for the incident,9,Free-Text
No it accelerated pretty fast he said,9,Free-Text
What's it like working with your boyfriend,9,Free-Text
A huge export ramp up will take time,9,Free-Text
See what i mean some things never change,9,Free-Text
It means all hospitals are represented,9,Free-Text
Hang seng china enterprises index higher,9,Free-Text
The right answer and your point is,9,Free-Text
Everyone contributed from the star of the team,9,Free-Text
My name is Paola,9,Free-Text
It's like he's just toying with everybody,9,Free-Text
Asia pacific european and wall street bourses,9,Free-Text
I am very handsome,9,Free-Text
Everyone was talking about him even his peers,9,Free-Text
Whatever the result it will be challenged,9,Free-Text
I'm fine bonds stated after the game,9,Free-Text
I don't think we can survive much longer,9,Free-Text
Other relief agencies haven't been spared either,9,Free-Text
Armstrong thought something was wrong the night before,9,Free-Text
This is a real head to head showdown,9,Free-Text
The company was cautious about any turnaround,9,Free-Text
How does he explain needing that much money,9,Free-Text
Above us only sky,9,Free-Text
The company had no comment thursday night,9,Free-Text
Financing is getting more creative too,9,Free-Text
I'm not surprised by anything he said,9,Free-Text
Plan outlines vision for unified downtown,9,Free-Text
But he also has a sentimental attraction,9,Free-Text
Prudential has four offices in asia,9,Free-Text
And they are looking for recruits,9,Free-Text
Family for the glory of GOD,9,Free-Text
I look forward to the trip nice city,9,Free-Text
Bush was put on the defense as well,9,Free-Text
The groups see those as token measures,9,Free-Text
I am very happy,9,Free-Text
Are you talking to me,9,Free-Text
The turkish press on saturday agreed,9,Free-Text
Besides looking pretty daisy has talents,9,Free-Text
The news briefly startled oil markets,9,Free-Text
Arroyo said corpus is currently in south korea,9,Free-Text
His remarkable run was about to end,9,Free-Text
San payne scored three conversions and a penalty,9,Free-Text
And tax laws do little to encourage donations,9,Free-Text
No other information was immediately released,9,Free-Text
I just want everybody to be happy,9,Free-Text
Construction will begin later this year as,9,Free-Text
Parliament is to debate the issue thursday,9,Free-Text
Until then though much work must be done,9,Free-Text
Handlers often know their names and pat them,9,Free-Text
Getting people to grow their own vegetables,9,Free-Text
Not all the evidence is encouraging,9,Free-Text
Cruises south pacific and vietnam,9,Free-Text
Jones gave wales a four point lead,9,Free-Text
We are a family,9,Free-Text
I am the princess of my kingdom,9,Free-Text
It's a very very complicated issue he said,9,Free-Text
He was believed to be washington's favorite choice,9,Free-Text
There's no place like home,9,Free-Text
I took my uniforms to them he said,9,Free-Text
But remember there's nothing personal about this,9,Free-Text
The cancer he said two years ago,9,Free-Text
Information from the wall street journal,9,Free-Text
The further adventures of ace warner software detective,9,Free-Text
Only employees and their families can attend,9,Free-Text
The public are entitled to see parliament,9,Free-Text
Singapore is a very beautiful country,9,Free-Text
What can you do with a philosophy degree,9,Free-Text
The issue will be discussed next month,9,Free-Text
But prices are given in pounds sterling only,9,Free-Text
How much longer do you have to work,9,Free-Text
Everyone has the right to pursure happiness,9,Free-Text
Anywhere there's a computer you can find out,9,Free-Text
Atlanta olympic officials had no immediate comment,8,Free-Text
Beyond that little can be predicted with confidence,8,Free-Text
The belief levels among cereal industry analysts vary,8,Free-Text
Pass new gun safety measures,8,Free-Text
The destitute poverty and prejudice breed ignorance,8,Free-Text
Passionate desire for a notorious man,8,Free-Text
I am a good boy,8,Free-Text
Senior chinese leader calls for creative research,8,Free-Text
Designing that search is also the nation's task,8,Free-Text
White or black pepper ground to taste,8,Free-Text
Female actor in a drama series,8,Free-Text
It's all been pretty devastating miller said,8,Free-Text
Joy double digit growth in recent years,8,Free-Text
The commission would be functioning soon he said,8,Free-Text
Details of the meeting were not available,8,Free-Text
Two northern tanks were destroyed he added,8,Free-Text
Do you feel lucky,8,Free-Text
Employers meanwhile weighed in with their own worries,8,Free-Text
Saving private ryan was their favorite,8,Free-Text
Two other defendants were found not guilty,8,Free-Text
Defense lawyers said they would appeal the decision,8,Free-Text
She kept her end of the bargain,8,Free-Text
Said roberts we are moving on,8,Free-Text
To be a better man,8,Free-Text
He said negotiations would begin in june,8,Free-Text
Something is cooking at nestle indonesia,8,Free-Text
whats wrong with potatoes,8,Free-Text
My voice is my passport,8,Free-Text
The two were detained for questioning,8,Free-Text
It's a huge confidence builder she said,8,Free-Text
Tal is my favourite chess player,8,Free-Text
A history of classical music criticism in america,8,Free-Text
Jimmy carter and the liberals just won't do,8,Free-Text
Why she replies you can hit that shot,8,Free-Text
Many commuter were fed up with the uncertainty,8,Free-Text
imagine you could fly,8,Free-Text
We have read the literature policy,8,Free-Text
What a brave new world,8,Free-Text
The process could take months experts say,8,Free-Text
Nobody said anything about lowering cable rates,8,Free-Text
The jerusalem post on the italian government,8,Free-Text
The menu warns of things to come,8,Free-Text
We think that is very exciting he said,7,Free-Text
Everything that has a beginning has an end,7,Free-Text
We'll have a good time she promised,7,Free-Text
They were released by the central electoral commission,7,Free-Text
Some were enjoying the half empty streets,7,Free-Text
there is no spoon,7,Free-Text
The men remained held without bond,7,Free-Text
Are you a careful reader of the newspaper,7,Free-Text
Among the specific measures planned are,7,Free-Text
Queensland slumped to its second defeat,7,Free-Text
Larry hull knew exactly what he wanted,7,Free-Text
Of course they hate bush even more,7,Free-Text
Teach your children study skills and time management,7,Free-Text
None in alexandria do so to my knowledge,7,Free-Text
Since then however it has been all woods,7,Free-Text
Tourists are hardly around nowadays he said,7,Free-Text
who is your daddy,7,Free-Text
The remaining money was split between other teams,7,Free-Text
Workers advocates say they can't blame employers,7,Free-Text
To be simple is to be great,7,Free-Text
Their lawyers said they planned to appeal,7,Free-Text
Things are changing in indonesia he said,7,Free-Text
But she has not left the national spotlight,7,Free-Text
The district court jailed him for three years,7,Free-Text
In fact this is his first drawing exhibition,6,Free-Text
Safety is our top priority she said,6,Free-Text
Woods in fact didn't say differently,6,Free-Text
Li is serving a nine year prison sentence,6,Free-Text
One commission member the dominican republic abstained,6,Free-Text
i am the best,6,Free-Text
And at least one judge agrees with him,6,Free-Text
Shepherd confirmed that messages were received,6,Free-Text
Dusty smith writes for the dayton daily news,6,Free-Text
Xinhua did not name the other countries,6,Free-Text
No excuses only a big punch,6,Free-Text
The old people power fad has humble beginnings,6,Free-Text
Among the races to watch in the west,6,Free-Text
In another match friday india faced south korea,6,Free-Text
Toughen lobbying disclosure and gift limits for congress,6,Free-Text
Games like tonight make the game very difficult,6,Free-Text
Take a walk on the wild side,6,Free-Text
He said many in the crowd are struggling,6,Free-Text
Meine Stimme ist mein Passwort,6,Free-Text
With aikman the rap was who knows,6,Free-Text
A classic clash of competing interests,6,Free-Text
Now sandy calls her father her best friend,6,Free-Text
There was no immediate response from police,6,Free-Text
And does terrorism help solve the problem,6,Free-Text
They were lucky most technology workers got less,6,Free-Text
Now she enjoys herself as never before,6,Free-Text
He expects to serve about six months,6,Free-Text
Viking players not the only ones sick,6,Free-Text
He said no final decision has been made,6,Free-Text
The strike is also hurting indian industries,6,Free-Text
On tuesday america's voters knew whom they believed,6,Free-Text
You killed my father prepare to die,6,Free-Text
My name is Inigo Montoya,6,Free-Text
Taylor is not a prisoner here she added,6,Free-Text
The trend could take some weeks analysts say,6,Free-Text
A camel is a horse designed by committew,6,Free-Text
"no pain,no gain",6,Free-Text
Was itself the result of tough bargaining,6,Free-Text
David the questioner replied i'm sorry,6,Free-Text
She was whipped by an ugly stick,6,Free-Text
Consultants look out the lawyers are coming,6,Free-Text
Many families with children were on board,6,Free-Text
Wheat followed corn and soybeans lower,6,Free-Text
Makes illegal presence in the country a felony,6,Free-Text
The coming digital disappointment isn't a local phenomenon,6,Free-Text
In addition to hungary his passion is television,6,Free-Text
He signs off with a thank you,6,Free-Text
This is not an unusual story,6,Free-Text
But hope for surprise springs eternal,6,Free-Text
I would like to book a flight please,6,Free-Text
He has since developed a taste for wine,6,Free-Text
For some companies signs of improvement are showing,6,Free-Text
Torn like leaves through europe is the peace,6,Free-Text
No suspects have been arrested he added,6,Free-Text
The other man was slightly wounded,5,Free-Text
Why you may ask was he wearing it,5,Free-Text
To goldstein she looked like a spoiled daughter,5,Free-Text
Our country is still not equal he said,5,Free-Text
No one here is getting rich he said,5,Free-Text
Scheduled speakers at the convention include,5,Free-Text
A vote by the house is expected soon,5,Free-Text
It's a very wonderful occasion he said,5,Free-Text
Written and directed by john cameron mitchell,5,Free-Text
Work and profits have been shared,5,Free-Text
Called fully automated seamless travel said,5,Free-Text
Flight also suggests visiting vineyards,5,Free-Text
His native south carolina hadn't let him down,5,Free-Text
Hi i'm sean he tells the associated press,5,Free-Text
The decision puts turkey's government in a bind,5,Free-Text
Foreign bulls head for the middle kingdom,5,Free-Text
Oh boy you and me both zimmer said,5,Free-Text
Only one managed to escape right away,5,Free-Text
Through one hundred ten four games,3,Free-Text
A singer in a trio january fifteen,3,Free-Text
Sells a wide range of food,3,Free-Text
every day is another chance,3,Free-Text
And in europe on october fifteen,3,Free-Text
Three hundred forty one in nineteen twelve,3,Free-Text
And introduce them to our higher power,3,Free-Text
Which tended more towards romantic comedies,3,Free-Text
Nineteen seventy one academy awards,3,Free-Text
With more than forty one dollars,3,Free-Text
What child doesn't enjoy the classic puzzle,3,Free-Text
His complete colored pencil book,3,Free-Text
The terms of her previous employment,3,Free-Text
According to dennis holt nineteen ninety nine,3,Free-Text
Then discusses the seven liberal arts,3,Free-Text
Than the ultimate desired product,3,Free-Text
The result was rapid erosion,3,Free-Text
Features a block of art galleries,3,Free-Text
Malaysia globe twenty thirteen,3,Free-Text
Two year extension of the bush tax cuts,3,Free-Text
Passing the atlanta flames,3,Free-Text
That's clearly a long term vision casey said,3,Free-Text
Are there young musicians who read the journal,3,Free-Text
The raid also yielded production equipment,3,Free-Text
John hayden number eighty five,3,Free-Text
At first life in hollywood was good,3,Free-Text
Which has led to its re acceptance,3,Free-Text
Which has released several albums,3,Free-Text
That the economy could be better off,3,Free-Text
Speedy gets to the construction site,3,Free-Text
Still apple officials gave an optimistic outlook,3,Free-Text
"no root, no fruit",3,Free-Text
Pointed out to him by john locke,3,Free-Text
And he finished twenty fourth in points,3,Free-Text
European winter tour twenty twelve and asian tour,3,Free-Text
In which he got good notices,3,Free-Text
Better late than never,3,Free-Text
The electorate turnout was thirty seven,3,Free-Text
The japanese workers soon joined them,3,Free-Text
She considered it a perfect job,3,Free-Text
Had brought together kelly,3,Free-Text
The associated press claims,3,Free-Text
And film director from compton,3,Free-Text
Silver foil two different images,3,Free-Text
Like many other males in his family,3,Free-Text
Upon his eventual exchange,3,Free-Text
And david keith as boone the cowboy,3,Free-Text
Sixteen eighty one and march four,3,Free-Text
The pilot project took off quickly,3,Free-Text
In his twenty first class appearances,3,Free-Text
The net effect of his policies,3,Free-Text
A member of parliament for derby,3,Free-Text
He also competed in the sixty meters,3,Free-Text
This appears in legends around the world,3,Free-Text
Were given to trinity college,3,Free-Text
Although some of the risk is genetic,3,Free-Text
When a sufficient number of vehicles were available,3,Free-Text
Just as the operation begins,3,Free-Text
School of criminal investigation,3,Free-Text
China's green food industry in full swing development,3,Free-Text
A man referred to as the hunter,3,Free-Text
The appointed military commander,3,Free-Text
The park was created in nineteen sixty six,3,Free-Text
When usage dropped one percentage point,3,Free-Text
During his military regime,3,Free-Text
Which is used to create the actual key,3,Free-Text
Due to poor and very rocky soil,3,Free-Text
While he is waiting for the ship,3,Free-Text
Minister for infrastructure and transport,3,Free-Text
to do something great,3,Free-Text
Finishing last in the eleven team tournament,3,Free-Text
They also captured the convoy,3,Free-Text
Descendants of manuel i of portugal,3,Free-Text
Group a consisted of ethiopia,3,Free-Text
The factory expanded into two new works,3,Free-Text
And females are now commonly found there,3,Free-Text
Despite the strength of wood,3,Free-Text
Public policies and government,3,Free-Text
First edition word of mouth was strong,3,Free-Text
And was employed as chief engineer,3,Free-Text
Because of the soil and climate,3,Free-Text
Fixed routes are the community bus routes,3,Free-Text
At the shore of san francisco bay,3,Free-Text
Prior to the defections,3,Free-Text
The existence of this structure is a necessary,3,Free-Text
Ten bushels of spring wheat,3,Free-Text
Which are usually the poorest,3,Free-Text
Fixed cost managed services,3,Free-Text
Other nonprofit groups that study poverty disagree,2,Free-Text
Make sure the doors are locked,2,Free-Text
Some days are better than others,2,Free-Text
But it doesn't stop people making the assertions,2,Free-Text
So how do the cowboys beat the blitz,2,Free-Text
We cannot make any serious prediction brooks said,2,Free-Text
They did so with a vengeance wednesday,2,Free-Text
Mas vale pajaro en mano que cien volando,2,Free-Text
Artificial Intelligent is for real,2,Free-Text
It is also a pretty big task,2,Free-Text
Europeans share your loss he said,2,Free-Text
But this year is unlike any other,2,Free-Text
"Hola, cmo ests y en que te puedo ayudar?",2,Free-Text
Whatever you are be a good one,2,Free-Text
Police contacted there declined to immediately comment,2,Free-Text
Only lawers love millionaires,2,Free-Text
But there were also voices of dissent,2,Free-Text
The celebration will go on until monday,2,Free-Text
Beleive you can and you're half way there,2,Free-Text
The massive drive involves three steps,2,Free-Text
Will you watch on television if you can,2,Free-Text
The alarm was raised by a family friend,2,Free-Text
Those batteries remained on full alert on monday,2,Free-Text
Still not a police station offense i'm thinking,2,Free-Text
Last year shenzhen port ranked seventh,2,Free-Text
The house bill makes three major changes,2,Free-Text
Prices will go up he said,2,Free-Text
Or for both teams avoid playing,2,Free-Text
He did not return phone calls,2,Free-Text
They said they rejected any protectionist measures,2,Free-Text
He was a good man she said,2,Free-Text
What are you talking about he asked,2,Free-Text
China's export growth heavily depended on foreign funded,2,Free-Text
Do you mind if my mother joins us,2,Free-Text
In beijing too the atmosphere changed,2,Free-Text
The monster is loose,2,Free-Text
And the location within the stream,1,Free-Text
The persian spring festival,1,Free-Text
The beginnings of a new genre,1,Free-Text
Has the following territorial history,1,Free-Text
This includes a full blood count,1,Free-Text
Known as the abraham stone,1,Free-Text
Daughter and three sons in new jersey,1,Free-Text
Explosion of the virginia,1,Free-Text
Due to political and economical reasons,1,Free-Text
Peoples do not have to patriotism,1,Free-Text
Nine window bays long and three deep,1,Free-Text
When wearing this traditional outfit,1,Free-Text
Situated on the castle hill,1,Free-Text
This is difficult for some adults to respect,1,Free-Text
And as such were largely nominal,1,Free-Text
To a personal understanding of the divine,1,Free-Text
It may also be a positive vow i,1,Free-Text
Or at least their digital collections,1,Free-Text
He was buried in gore hill cemetery,1,Free-Text
My whole life is like a hunger game,1,Free-Text
As well as architectural evidence,1,Free-Text
While she grew up methodist,1,Free-Text
The big four firms are shown below,1,Free-Text
The king had to get rid of him,1,Free-Text
As did john turner in nineteen seventy five,1,Free-Text
The germans sometimes had to retreat,1,Free-Text
Elliott reports it was much less intense,1,Free-Text
The royal northwest mounted police,1,Free-Text
Despite being of royal descent,1,Free-Text
Oppression of the lower classes,1,Free-Text
Wal mart however offered a different version,1,Free-Text
After a career as a professor and teacher,1,Free-Text
Compared with the nineteen eighty nine census,1,Free-Text
